(02/02/2017,List((0.000215,0.000207)))
(14/05/2015,List((0.000117,0.000105)))
(05/10/2017,List((0.001075,0.000979)))
(19/01/2014,List((0.000753,0.000578)))
(10/04/2014,List((0.000445,0.000347)))
(21/04/2014,List((0.000646,0.000614)))
(24/12/2014,List((0.000197,0.000189)))
(03/10/2017,List((0.001115,0.001004)))
(14/07/2017,List((0.001851,0.001632)))
(15/06/2015,List((0.000172,0.000164)))
(17/01/2016,List((0.000156,0.000150)))
(29/11/2016,List((0.000219,0.000214)))
(24/01/2014,List((0.001908,0.001631)))
(28/09/2014,List((0.000414,0.000376)))
(22/04/2015,List((0.000112,0.000109)))
(18/09/2017,List((0.000960,0.000837)))
(20/05/2016,List((0.000228,0.000222)))
(19/12/2014,List((0.000200,0.000173)))
(23/10/2015,List((0.000118,0.000113)))
(11/08/2017,List((0.001897,0.001817)))
(05/07/2015,List((0.000195,0.000186)))
(19/03/2014,List((0.000808,0.000766)))
(16/03/2017,List((0.000244,0.000228)))
(22/10/2014,List((0.000271,0.000228)))
(30/06/2014,List((0.000281,0.000264)))
(28/03/2014,List((0.000564,0.000443)))
(27/07/2015,List((0.000189,0.000183)))
(13/07/2016,List((0.000268,0.000261)))
(04/10/2014,List((0.000339,0.000298)))
(03/01/2015,List((0.000186,0.000167)))
(06/07/2014,List((0.000235,0.000217)))
(20/10/2016,List((0.000222,0.000217)))
(06/03/2016,List((0.000225,0.000219)))
(23/11/2014,List((0.000265,0.000213)))
(27/03/2015,List((0.000134,0.000128)))
(12/02/2014,List((0.001944,0.001747)))
(07/07/2017,List((0.002629,0.002388)))
(28/06/2017,List((0.002822,0.002526)))
(09/11/2016,List((0.000234,0.000224)))
(21/07/2015,List((0.000175,0.000169)))
(20/03/2016,List((0.000221,0.000209)))
(18/06/2014,List((0.000364,0.000351)))
(13/05/2016,List((0.000245,0.000233)))
(16/03/2015,List((0.000146,0.000142)))
(17/07/2014,List((0.000262,0.000233)))
(06/11/2017,List((0.001243,0.001145)))
(08/12/2016,List((0.000216,0.000211)))
(14/08/2016,List((0.000252,0.000236)))
(12/07/2015,List((0.000214,0.000199)))
(02/10/2014,List((0.000371,0.000331)))
(10/07/2015,List((0.000247,0.000195)))
(16/10/2015,List((0.000122,0.000117)))
(25/02/2016,List((0.000278,0.000267)))
(05/06/2016,List((0.000238,0.000233)))
(26/04/2015,List((0.000104,0.000098)))
(26/03/2016,List((0.000216,0.000211)))
(04/10/2016,List((0.000237,0.000229)))
(13/04/2017,List((0.000438,0.000406)))
(30/07/2017,List((0.001773,0.001691)))
(19/04/2015,List((0.000108,0.000105)))
(14/02/2016,List((0.000305,0.000295)))
(01/05/2017,List((0.000765,0.000638)))
(17/02/2017,List((0.000213,0.000202)))
(17/12/2016,List((0.000220,0.000212)))
(02/04/2015,List((0.000130,0.000126)))
(03/04/2016,List((0.000227,0.000219)))
(04/01/2014,List((0.000321,0.000256)))
(10/02/2014,List((0.001507,0.001079)))
(21/05/2015,List((0.000134,0.000130)))
(17/05/2016,List((0.000230,0.000224)))
(05/10/2015,List((0.000119,0.000117)))
(04/09/2014,List((0.000168,0.000139)))
(30/10/2015,List((0.000166,0.000139)))
(15/07/2016,List((0.000266,0.000261)))
(07/11/2014,List((0.000228,0.000218)))
(22/01/2016,List((0.000184,0.000161)))
(26/10/2016,List((0.000222,0.000215)))
(13/03/2016,List((0.000245,0.000233)))
(14/01/2017,List((0.000212,0.000206)))
(16/08/2014,List((0.000135,0.000116)))
(11/03/2014,List((0.000803,0.000665)))
(27/12/2013,List((0.000628,0.000497)))
(30/08/2014,List((0.000135,0.000128)))
(25/05/2015,List((0.000149,0.000140)))
(08/11/2015,List((0.000145,0.000134)))
(03/03/2015,List((0.000149,0.000142)))
(09/03/2017,List((0.000212,0.000202)))
(20/01/2016,List((0.000171,0.000146)))
(19/11/2017,List((0.001421,0.001340)))
(20/04/2015,List((0.000108,0.000105)))
(01/08/2014,List((0.000214,0.000207)))
(03/08/2014,List((0.000210,0.000203)))
