(02/02/2017,List((0.000212,0.000211)))
(14/05/2015,List((0.000108,0.000114)))
(05/10/2017,List((0.001016,0.001001)))
(19/01/2014,List((0.000588,0.000697)))
(10/04/2014,List((0.000441,0.000347)))
(21/04/2014,List((0.000629,0.000621)))
(24/12/2014,List((0.000196,0.000190)))
(03/10/2017,List((0.001085,0.001108)))
(14/07/2017,List((0.001826,0.001681)))
(15/06/2015,List((0.000167,0.000170)))
(17/01/2016,List((0.000155,0.000152)))
(29/11/2016,List((0.000219,0.000217)))
(24/01/2014,List((0.001801,0.001785)))
(28/09/2014,List((0.000376,0.000392)))
(22/04/2015,List((0.000111,0.000111)))
(18/09/2017,List((0.000853,0.000947)))
(20/05/2016,List((0.000223,0.000228)))
(19/12/2014,List((0.000176,0.000194)))
(23/10/2015,List((0.000117,0.000115)))
(11/08/2017,List((0.001897,0.001880)))
(05/07/2015,List((0.000191,0.000194)))
(19/03/2014,List((0.000766,0.000772)))
(16/03/2017,List((0.000241,0.000235)))
(22/10/2014,List((0.000230,0.000256)))
(30/06/2014,List((0.000269,0.000267)))
(28/03/2014,List((0.000453,0.000519)))
(27/07/2015,List((0.000187,0.000189)))
(13/07/2016,List((0.000264,0.000263)))
(04/10/2014,List((0.000325,0.000300)))
(03/01/2015,List((0.000184,0.000167)))
(06/07/2014,List((0.000224,0.000226)))
(20/10/2016,List((0.000217,0.000221)))
(06/03/2016,List((0.000223,0.000221)))
(23/11/2014,List((0.000214,0.000251)))
(27/03/2015,List((0.000132,0.000129)))
(12/02/2014,List((0.001817,0.001818)))
(07/07/2017,List((0.002629,0.002397)))
(28/06/2017,List((0.002636,0.002793)))
(09/11/2016,List((0.000229,0.000229)))
(21/07/2015,List((0.000174,0.000170)))
(20/03/2016,List((0.000221,0.000214)))
(18/06/2014,List((0.000362,0.000358)))
(13/05/2016,List((0.000235,0.000236)))
(16/03/2015,List((0.000143,0.000145)))
(17/07/2014,List((0.000234,0.000261)))
(06/11/2017,List((0.001171,0.001154)))
(08/12/2016,List((0.000212,0.000215)))
(14/08/2016,List((0.000239,0.000245)))
(12/07/2015,List((0.000201,0.000211)))
(02/10/2014,List((0.000371,0.000334)))
(10/07/2015,List((0.000196,0.000203)))
(16/10/2015,List((0.000120,0.000121)))
(25/02/2016,List((0.000277,0.000269)))
(05/06/2016,List((0.000237,0.000237)))
(26/04/2015,List((0.000103,0.000100)))
(26/03/2016,List((0.000214,0.000213)))
(04/10/2016,List((0.000236,0.000229)))
(13/04/2017,List((0.000415,0.000425)))
(30/07/2017,List((0.001771,0.001719)))
(19/04/2015,List((0.000107,0.000106)))
(14/02/2016,List((0.000295,0.000301)))
(01/05/2017,List((0.000746,0.000686)))
(17/02/2017,List((0.000207,0.000209)))
(17/12/2016,List((0.000217,0.000219)))
(02/04/2015,List((0.000128,0.000129)))
(03/04/2016,List((0.000224,0.000221)))
(04/01/2014,List((0.000305,0.000301)))
(10/02/2014,List((0.001287,0.001414)))
(21/05/2015,List((0.000134,0.000134)))
(17/05/2016,List((0.000228,0.000226)))
(05/10/2015,List((0.000118,0.000117)))
(04/09/2014,List((0.000140,0.000157)))
(30/10/2015,List((0.000141,0.000151)))
(15/07/2016,List((0.000261,0.000264)))
(07/11/2014,List((0.000227,0.000220)))
(22/01/2016,List((0.000163,0.000168)))
(26/10/2016,List((0.000219,0.000216)))
(13/03/2016,List((0.000237,0.000245)))
(14/01/2017,List((0.000209,0.000209)))
(16/08/2014,List((0.000121,0.000135)))
(11/03/2014,List((0.000780,0.000767)))
(27/12/2013,List((0.000603,0.000522)))
(30/08/2014,List((0.000129,0.000135)))
(25/05/2015,List((0.000143,0.000142)))
(08/11/2015,List((0.000144,0.000136)))
(03/03/2015,List((0.000149,0.000144)))
(09/03/2017,List((0.000207,0.000211)))
(20/01/2016,List((0.000148,0.000168)))
(19/11/2017,List((0.001355,0.001376)))
(20/04/2015,List((0.000106,0.000106)))
(01/08/2014,List((0.000209,0.000211)))
(03/08/2014,List((0.000209,0.000203)))
(02/10/2016,List((0.000230,0.000230)))
(05/05/2015,List((0.000089,0.000089)))
(29/07/2015,List((0.000188,0.000184)))
(22/06/2015,List((0.000208,0.000219)))
(11/11/2017,List((0.001146,0.001201)))
(23/03/2017,List((0.000239,0.000242)))
