(01/07/2015,List((0.000199,0.000193)))
(23/08/2016,List((0.000229,0.000227)))
(04/05/2014,List((0.000463,0.000468)))
(15/05/2016,List((0.000231,0.000231)))
(06/05/2014,List((0.000454,0.000457)))
(13/06/2015,List((0.000161,0.000165)))
(30/03/2015,List((0.000127,0.000128)))
(30/07/2015,List((0.000184,0.000183)))
(05/11/2014,List((0.000211,0.000218)))
(05/04/2016,List((0.000220,0.000214)))
(30/06/2016,List((0.000295,0.000304)))
(17/01/2014,List((0.000384,0.000415)))
(24/08/2017,List((0.001731,0.001816)))
(18/07/2015,List((0.000180,0.000177)))
(23/12/2015,List((0.000142,0.000147)))
(30/09/2017,List((0.001091,0.001145)))
(21/10/2017,List((0.001048,0.001007)))
(21/08/2014,List((0.000131,0.000132)))
(29/03/2017,List((0.000279,0.000272)))
(17/02/2015,List((0.000144,0.000146)))
(27/04/2016,List((0.000231,0.000224)))
(26/05/2014,List((0.000426,0.000403)))
(17/03/2016,List((0.000231,0.000223)))
(02/09/2014,List((0.000130,0.000132)))
(20/08/2017,List((0.001670,0.001707)))
(09/01/2017,List((0.000221,0.000229)))
(22/05/2014,List((0.000457,0.000422)))
(08/02/2015,List((0.000145,0.000141)))
(07/03/2017,List((0.000206,0.000209)))
(22/09/2016,List((0.000231,0.000228)))
(14/04/2014,List((0.000388,0.000461)))
(07/05/2015,List((0.000087,0.000089)))
(18/04/2016,List((0.000226,0.000225)))
(24/08/2015,List((0.000138,0.000128)))
(08/11/2017,List((0.001175,0.001222)))
(04/07/2014,List((0.000219,0.000234)))
(27/08/2016,List((0.000231,0.000224)))
(02/12/2014,List((0.000242,0.000240)))
(06/07/2016,List((0.000288,0.000284)))
(15/09/2014,List((0.000340,0.000326)))
(28/06/2015,List((0.000208,0.000204)))
(06/09/2014,List((0.000165,0.000211)))
(21/04/2016,List((0.000225,0.000226)))
(18/03/2017,List((0.000223,0.000219)))
(31/07/2016,List((0.000238,0.000230)))
(19/08/2017,List((0.001681,0.001678)))
(06/01/2014,List((0.000271,0.000255)))
(09/06/2016,List((0.000246,0.000265)))
(26/01/2016,List((0.000212,0.000356)))
(20/02/2017,List((0.000208,0.000207)))
(13/09/2016,List((0.000226,0.000225)))
(12/12/2015,List((0.000149,0.000142)))
(30/11/2014,List((0.000241,0.000242)))
(25/09/2015,List((0.000124,0.000122)))
(25/03/2017,List((0.000264,0.000298)))
(15/08/2015,List((0.000158,0.000155)))
(21/12/2015,List((0.000145,0.000143)))
(26/08/2017,List((0.001787,0.001778)))
(15/11/2017,List((0.001189,0.001339)))
(08/10/2016,List((0.000228,0.000225)))
(15/01/2016,List((0.000176,0.000149)))
(10/03/2015,List((0.000144,0.000139)))
(07/07/2015,List((0.000192,0.000189)))
(20/02/2015,List((0.000146,0.000144)))
(13/05/2014,List((0.000453,0.000449)))
(15/04/2017,List((0.000425,0.000418)))
(05/04/2014,List((0.000447,0.000470)))
(23/09/2015,List((0.000126,0.000124)))
(16/09/2015,List((0.000126,0.000124)))
(22/09/2014,List((0.000288,0.000298)))
(10/05/2015,List((0.000091,0.000090)))
(05/02/2014,List((0.001163,0.001302)))
(09/07/2017,List((0.002442,0.002330)))
(28/02/2017,List((0.000204,0.000205)))
(11/04/2015,List((0.000113,0.000114)))
(29/11/2014,List((0.000245,0.000243)))
(21/01/2015,List((0.000141,0.000153)))
(18/12/2013,List((0.000267,0.000362)))
(14/09/2017,List((0.001384,0.000854)))
(18v08/2017,List((0.001711,0.001678)))
(19/06/2015,List((0.000213,0.000209)))
(07/06/2014,List((0.000361,0.000367)))
(06/08/2017,List((0.002086,0.001909)))
(12/02/2016,List((0.000293,0.000301)))
(27/12/2016,List((0.000232,0.000227)))
(01/11/2015,List((0.000137,0.000141)))
(18/06/2017,List((0.003335,0.003230)))
(05/04/2017,List((0.000438,0.000442)))
(27/06/2017,List((0.002750,0.002623)))
(14/04/2015,List((0.000106,0.000103)))
(11/10/2017,List((0.001035,0.001046)))
(03/10/2016,List((0.000230,0.000234)))
(16/10/2016,List((0.000225,0.000223)))
(11/04/2016,List((0.000203,0.000214)))
(20/05/2017,List((0.001511,0.001900)))
(23/07/2014,List((0.000221,0.000225)))
(13/10/2017,List((0.001064,0.001066)))
(10/06/2015,List((0.000162,0.000157)))
(15/07/2017,List((0.001675,0.001484)))
(11/05/2015,List((0.000090,0.000093)))
(21/08/2017,List((0.001693,0.001712)))
(19/11/2016,List((0.000221,0.000220)))
(24/07/2015,List((0.000178,0.000188)))
(07/02/2015,List((0.000144,0.000145)))
(20/07/2017,List((0.001694,0.001935)))
(30/08/2017,List((0.001862,0.002105)))
(19/06/2016,List((0.000324,0.000338)))
(05/08/2015,List((0.000175,0.000173)))
(28/12/2015,List((0.000144,0.000139)))
(11/06/2016,List((0.000261,0.000253)))
(15/06/2014,List((0.000376,0.000374)))
(16/12/2016,List((0.000215,0.000217)))
(28/11/2016,List((0.000217,0.000218)))
(27/09/2014,List((0.000450,0.000375)))
(13/07/2017,List((0.001958,0.001823)))
(06/06/2016,List((0.000236,0.000236)))
(15/05/2017,List((0.001275,0.001128)))
(30/01/2016,List((0.000317,0.000258)))
(21/04/2017,List((0.000440,0.000451)))
(14/07/2016,List((0.000263,0.000262)))
(03/11/2015,List((0.000147,0.000156)))
(13/10/2015,List((0.000119,0.000121)))
(26/11/2014,List((0.000243,0.000232)))
(09/08/2015,List((0.000158,0.000162)))
(06/07/2017,List((0.002711,0.002636)))
(19/10/2015,List((0.000119,0.000119)))
(09/07/2014,List((0.000261,0.000275)))
(19/01/2017,List((0.000206,0.000211)))
(07/03/2014,List((0.001011,0.000928)))
(02/10/2017,List((0.001075,0.001085)))
(16/01/2016,List((0.000149,0.000155)))
(09/11/2015,List((0.000136,0.000135)))
(28/09/2015,List((0.000122,0.000124)))
(08/05/2015,List((0.000089,0.000092)))
(14/06/2015,List((0.000165,0.000167)))
(09/06/2017,List((0.003576,0.003453)))
(03/07/2016,List((0.000306,0.000282)))
(25/04/2015,List((0.000105,0.000103)))
(29/05/2014,List((0.000399,0.000390)))
(31/01/2017,List((0.000208,0.000206)))
(03/04/2017,List((0.000490,0.000427)))
(21/11/2015,List((0.000129,0.000131)))
(26/02/2016,List((0.000269,0.000259)))
(03/10/2014,List((0.000332,0.000326)))
(28/03/2015,List((0.000128,0.000131)))
(15/10/2015,List((0.000120,0.000120)))
(17/09/2017,List((0.000867,0.000853)))
(08/05/2017,List((0.001335,0.001521)))
(20/09/2017,List((0.000881,0.000862)))
(02/11/2016,List((0.000221,0.000220)))
(27/12/2014,List((0.000190,0.000184)))
(10/12/2016,List((0.000211,0.000215)))
(01/04/2015,List((0.000126,0.000128)))
(02/09/2017,List((0.002557,0.002226)))
(27/06/2015,List((0.000201,0.000210)))
(31/12/2013,List((0.000418,0.000422)))
(03/07/2014,List((0.000225,0.000219)))
(08/07/2017,List((0.002386,0.002440)))
(28/10/2015,List((0.000118,0.000126)))
(08/02/2014,List((0.001105,0.001081)))
(24/11/2014,List((0.000251,0.000248)))
(13/09/2015,List((0.000127,0.000126)))
(25/03/2014,List((0.000746,0.000653)))
(20/01/2017,List((0.000209,0.000209)))
(01/06/2015,List((0.000154,0.000141)))
(29/11/2015,List((0.000130,0.000130)))
(02/11/2014,List((0.000228,0.000221)))
(30/12/2014,List((0.000181,0.000179)))
(01/08/2015,List((0.000184,0.000175)))
(23/12/2014,List((0.000195,0.000195)))
(09/02/2017,List((0.000208,0.000204)))
(15/09/2017,List((0.000852,0.000865)))
(05/02/2015,List((0.000147,0.000142)))
(23/10/2016,List((0.000223,0.000221)))
(17/01/2017,List((0.000207,0.000215)))
(06/03/2015,List((0.000141,0.000142)))
(25/11/2015,List((0.000128,0.000130)))
(13/01/2015,List((0.000156,0.000136)))
(15/02/2016,List((0.000301,0.000298)))
(22/10/2017,List((0.001008,0.001023)))
(18/06/2015,List((0.000197,0.000210)))
(06/01/2017,List((0.000228,0.000220)))
(23/04/2017,List((0.000468,0.000522)))
(19/08/2014,List((0.000107,0.000114)))
(18/03/2016,List((0.000221,0.000209)))
(16/03/2016,List((0.000233,0.000231)))
(30/08/2015,List((0.000131,0.000129)))
(17/02/2016,List((0.000290,0.000278)))
(04/05/2015,List((0.000090,0.000089)))
(22/05/2017,List((0.003095,0.003405)))
(23/06/2015,List((0.000219,0.000187)))
(16/10/2014,List((0.000269,0.000258)))
(20/10/2015,List((0.000119,0.000118)))
(19/10/2017,List((0.001056,0.001064)))
(03/02/2017,List((0.000211,0.000213)))
(03/08/2017,List((0.001785,0.001795)))
(14/05/2016,List((0.000236,0.000231)))
(07/05/2014,List((0.000457,0.000473)))
(18/05/2014,List((0.000452,0.000449)))
(02/07/2017,List((0.002638,0.002481)))
(11/04/2014,List((0.000347,0.000440)))
(13/04/2016,List((0.000231,0.000234)))
(24/05/2015,List((0.000136,0.000143)))
(12/03/2016,List((0.000242,0.000237)))
(24/12/2013,List((0.000450,0.000686)))
(22/02/2016,List((0.000287,0.000283)))
(24/03/2015,List((0.000137,0.000129)))
(07/09/2016,List((0.000241,0.000242)))
(10/02/2015,List((0.000140,0.000141)))
(09/02/2015,List((0.000141,0.000140)))
(19/08/2016,List((0.000247,0.000233)))
(07/06/2015,List((0.000158,0.000152)))
(07/07/2016,List((0.000284,0.000275)))
(26/08/2014,List((0.000113,0.000145)))
(14/11/2017,List((0.001201,0.001184)))
(22/09/2015,List((0.000130,0.000126)))
(22/08/2014,List((0.000132,0.000125)))
(29/01/2016,List((0.000347,0.000316)))
(19/02/2016,List((0.000278,0.000297)))
(08/12/2015,List((0.000133,0.000136)))
(27/08/2017,List((0.001779,0.001759)))
(28/08/2016,List((0.000226,0.000229)))
(26/07/2017,List((0.001772,0.001810)))
(02/06/2016,List((0.000234,0.000230)))
(14/02/2017,List((0.000208,0.000209)))
(16/05/2016,List((0.000231,0.000229)))
(08/01/2015,List((0.000173,0.000168)))
(25/02/2015,List((0.000140,0.000142)))
(19/07/2017,List((0.001870,0.001689)))
(08/09/2017,List((0.001930,0.001596)))
(03/02/2015,List((0.000150,0.000147)))
(09/06/2015,List((0.000163,0.000162)))
(04/04/2016,List((0.000221,0.000220)))
(01/11/2017,List((0.001143,0.001138)))
(18v08/2016,List((0.000247,0.000247)))
(05/06/2017,List((0.003191,0.003873)))
(21/12/2014,List((0.000206,0.000193)))
(08/07/2015,List((0.000189,0.000189)))
(24/02/2016,List((0.000279,0.000278)))
(02/04/2016,List((0.000223,0.000226)))
(15/07/2015,List((0.000194,0.000186)))
(10/12/2014,List((0.000208,0.000209)))
(13/06/2014,List((0.000382,0.000392)))
(28/01/2015,List((0.000158,0.000144)))
(10/07/2016,List((0.000270,0.000272)))
(04/06/2014,List((0.000384,0.000362)))
(03/06/2017,List((0.003022,0.003251)))
(21/05/2014,List((0.000466,0.000456)))
(28/02/2014,List((0.001163,0.001071)))
(29/06/2017,List((0.002787,0.002656)))
(25/12/2014,List((0.000190,0.000185)))
(12/10/2016,List((0.000230,0.000225)))
(20/12/2013,List((0.001143,0.000704)))
(04/07/2017,List((0.002527,0.002518)))
(06/08/2014,List((0.000189,0.000178)))
(31/08/2016,List((0.000233,0.000235)))
(08/10/2015,List((0.000121,0.000119)))
(20/11/2016,List((0.000220,0.000219)))
(18/02/2015,List((0.000146,0.000143)))
(07/12/2016,List((0.000212,0.000214)))
(26/03/2017,List((0.000298,0.000272)))
(13/03/2015,List((0.000142,0.000141)))
(17/10/2017,List((0.001161,0.001067)))
(06/04/2014,List((0.000467,0.000460)))
(05/10/2016,List((0.000229,0.000233)))
(20/06/2014,List((0.000357,0.000353)))
(04/11/2014,List((0.000216,0.000211)))
(13/08/2016,List((0.000240,0.000239)))
(21/07/2014,List((0.000240,0.000237)))
(08/11/2016,List((0.000239,0.000229)))
(08/06/2014,List((0.000366,0.000360)))
(18/12/2016,List((0.000219,0.000218)))
(08/04/2016,List((0.000212,0.000211)))
(06/05/2015,List((0.000089,0.000087)))
(23/01/2014,List((0.001496,0.001800)))
(25/09/2016,List((0.000226,0.000225)))
(24/06/2016,List((0.000283,0.000281)))
(26/03/2015,List((0.000130,0.000132)))
(09/12/2014,List((0.000221,0.000210)))
(17/12/2013,List((0.000207,0.000269)))
(05/03/2016,List((0.000238,0.000224)))
(17/12/2015,List((0.000150,0.000155)))
(22/07/2017,List((0.001936,0.002095)))
(05/05/2016,List((0.000225,0.000221)))
(17/03/2017,List((0.000235,0.000223)))
(07/11/2015,List((0.000142,0.000145)))
(18/04/2017,List((0.000466,0.000459)))
(08/01/2017,List((0.000224,0.000221)))
(26/04/2016,List((0.000227,0.000230)))
(23/05/2014,List((0.000423,0.000413)))
(14/11/2015,List((0.000130,0.000130)))
(12/04/2017,List((0.000388,0.000414)))
(14/09/2014,List((0.000267,0.000345)))
(09/01/2016,List((0.000173,0.000180)))
(16/04/2017,List((0.000417,0.000454)))
(01/10/2014,List((0.000400,0.000371)))
(15/04/2014,List((0.000461,0.000587)))
(30/09/2014,List((0.000397,0.000399)))
(29/04/2017,List((0.000679,0.000734)))
(27/03/2014,List((0.000639,0.000467)))
(21/12/2016,List((0.000220,0.000227)))
(07/12/2014,List((0.000230,0.000229)))
(01/01/2014,List((0.000423,0.000440)))
(21/08/2015,List((0.000139,0.000145)))
(24/09/2015,List((0.000123,0.000124)))
(21/06/2017,List((0.003219,0.003125)))
(03/09/2016,List((0.000234,0.000236)))
(30/12/2016,List((0.000234,0.000228)))
(05/01/2016,List((0.000144,0.000137)))
(23/05/2016,List((0.000222,0.000225)))
(13/04/2014,List((0.000420,0.000389)))
(28/12/2013,List((0.000524,0.000459)))
(16/08/2017,List((0.001732,0.001774)))
(21/02/2017,List((0.000210,0.000208)))
(01/10/2016,List((0.000232,0.000233)))
(12/08/2017,List((0.001877,0.001856)))
(18/10/2016,List((0.000223,0.000221)))
(10/07/2014,List((0.000274,0.000263)))
(19/12/2013,List((0.000395,0.001162)))
(23/12/2016,List((0.000225,0.000236)))
(11/09/2017,List((0.001397,0.001463)))
(19/05/2017,List((0.001512,0.001518)))
(29/09/2016,List((0.000229,0.000231)))
(29/12/2016,List((0.000223,0.000228)))
(26/10/2015,List((0.000116,0.000116)))
(05/12/2016,List((0.000216,0.000215)))
(05/11/2017,List((0.001168,0.001182)))
(30/09/2016,List((0.000229,0.000235)))
(10/03/2016,List((0.000230,0.000241)))
(02/08/2016,List((0.000223,0.000206)))
(17/08/2016,List((0.000263,0.000247)))
(25/08/2015,List((0.000125,0.000129)))
(17/06/2014,List((0.000365,0.000363)))
(14/03/2014,List((0.000868,0.000867)))
(18/01/2014,List((0.000416,0.000588)))
(21/07/2016,List((0.000242,0.000237)))
(12/02/2017,List((0.000210,0.000208)))
(14/10/2016,List((0.000227,0.000227)))
(10/06/2017,List((0.003430,0.003313)))
(25/10/2014,List((0.000251,0.000246)))
(26/05/2017,List((0.002950,0.002424)))
(25/05/2014,List((0.000427,0.000425)))
(31/12/2015,List((0.000151,0.000151)))
(27/11/2015,List((0.000132,0.000133)))
(10/09/2016,List((0.000230,0.000227)))
(01/07/2016,List((0.000304,0.000302)))
(19/03/2015,List((0.000133,0.000133)))
(05/09/2016,List((0.000235,0.000236)))
(01/08/2017,List((0.001719,0.001792)))
(05/08/2017,List((0.001817,0.002087)))
(20/02/2016,List((0.000297,0.000291)))
(07/03/2016,List((0.000222,0.000233)))
(17/04/2014,List((0.000710,0.000643)))
(05/11/2015,List((0.000149,0.000146)))
(10/02/2017,List((0.000204,0.000208)))
(21/03/2014,List((0.000723,0.000689)))
(26/06/2014,List((0.000265,0.000296)))
(15/01/2015,List((0.000115,0.000140)))
(02/05/2015,List((0.000098,0.000097)))
(15/08/2014,List((0.000146,0.000120)))
(09/10/2016,List((0.000228,0.000228)))
(26/08/2016,List((0.000228,0.000231)))
(22/10/2015,List((0.000117,0.000118)))
(04/03/2015,List((0.000142,0.000143)))
(20/07/2015,List((0.000168,0.000174)))
(27/07/2016,List((0.000240,0.000237)))
(27/03/2016,List((0.000213,0.000216)))
(26/05/2015,List((0.000142,0.000161)))
(06/01/2015,List((0.000161,0.000168)))
(21/09/2016,List((0.000234,0.000231)))
(05/02/2017,List((0.000211,0.000211)))
(29/09/2014,List((0.000394,0.000396)))
(31/10/2017,List((0.001143,0.001124)))
(29/07/2016,List((0.000237,0.000238)))
(06/12/2015,List((0.000130,0.000128)))
(04/09/2015,List((0.000123,0.000125)))
(28/10/2017,List((0.001040,0.001037)))
(13/12/2015,List((0.000141,0.000143)))
(15/09/2015,List((0.000125,0.000126)))
(24/09/2017,List((0.000940,0.000892)))
(01/02/2017,List((0.000211,0.000209)))
(29/03/2016,List((0.000215,0.000254)))
(12/03/2014,List((0.000766,0.000906)))
(24/01/2017,List((0.000208,0.000202)))
(12/02/2015,List((0.000138,0.000142)))
(09/03/2014,List((0.000831,0.000871)))
(18v08/2014,List((0.000126,0.000107)))
(26/07/2015,List((0.000188,0.000187)))
(27/02/2015,List((0.000143,0.000146)))
(04/01/2017,List((0.000227,0.000236)))
(05/03/2014,List((0.001042,0.001059)))
(01/09/2014,List((0.000131,0.000131)))
(17/06/2016,List((0.000332,0.000321)))
(01/01/2016,List((0.000150,0.000154)))
(23/08/2017,List((0.001715,0.001732)))
(14/08/2015,List((0.000156,0.000158)))
(08/02/2016,List((0.000285,0.000287)))
(04/10/2015,List((0.000121,0.000118)))
(11/01/2015,List((0.000162,0.000160)))
(19/04/2014,List((0.000613,0.000646)))
(17/08/2014,List((0.000135,0.000126)))
(04/11/2016,List((0.000219,0.000219)))
(16/01/2014,List((0.000413,0.000384)))
(13/11/2016,List((0.000220,0.000225)))
(29/05/2016,List((0.000236,0.000238)))
(06/03/2017,List((0.000210,0.000210)))
(21/10/2016,List((0.000221,0.000218)))
(12/10/2014,List((0.000278,0.000290)))
(13/01/2017,List((0.000208,0.000209)))
(30/06/2017,List((0.002654,0.002602)))
(02/01/2017,List((0.000228,0.000226)))
(12/07/2016,List((0.000268,0.000265)))
(23/04/2015,List((0.000110,0.000110)))
(15/10/2017,List((0.001097,0.001106)))
(18/10/2014,List((0.000251,0.000257)))
(28/05/2015,List((0.000184,0.000192)))
(23/09/2014,List((0.000298,0.000313)))
(28/01/2017,List((0.000209,0.000209)))
(09/09/2016,List((0.000231,0.000230)))
(14/08/2017,List((0.001807,0.001762)))
(26/06/2016,List((0.000287,0.000285)))
(12/12/2014,List((0.000207,0.000206)))
(11/05/2017,List((0.001236,0.001212)))
(28/07/2015,List((0.000189,0.000188)))
(25/07/2014,List((0.000217,0.000213)))
(31/03/2015,List((0.000128,0.000126)))
(04/08/2016,List((0.000213,0.000215)))
(27/05/2014,List((0.000403,0.000397)))
(18/07/2014,List((0.000260,0.000247)))
(25/01/2016,List((0.000194,0.000212)))
(19/01/2015,List((0.000140,0.000140)))
(26/09/2015,List((0.000122,0.000123)))
(04/02/2014,List((0.001269,0.001161)))
(26/11/2016,List((0.000221,0.000219)))
(06/10/2015,List((0.000118,0.000121)))
(13/06/2016,List((0.000270,0.000298)))
(03/01/2016,List((0.000149,0.000146)))
(20/03/2015,List((0.000134,0.000133)))
(15/12/2013,List((0.000559,0.000298)))
(14/01/2016,List((0.000177,0.000175)))
(11/03/2015,List((0.000139,0.000145)))
(15/01/2017,List((0.000207,0.000206)))
(24/01/2015,List((0.000156,0.000166)))
(17/04/2016,List((0.000231,0.000226)))
(11/02/2014,List((0.001414,0.001812)))
(22/03/2015,List((0.000132,0.000132)))
(25/09/2014,List((0.000347,0.000375)))
(22/01/2017,List((0.000208,0.000207)))
(08/03/2015,List((0.000142,0.000140)))
(31/07/2017,List((0.001713,0.001718)))
(10/04/2017,List((0.000381,0.000400)))
(27/07/2014,List((0.000208,0.000217)))
(22/12/2013,List((0.000391,0.000315)))
(22/02/2014,List((0.001208,0.001278)))
(11/11/2016,List((0.000228,0.000227)))
(03/11/2017,List((0.001157,0.001121)))
(07/11/2017,List((0.001157,0.001177)))
(16/09/2014,List((0.000326,0.000294)))
(14/05/2014,List((0.000449,0.000456)))
(10/05/2014,List((0.000495,0.000478)))
(27/10/2014,List((0.000249,0.000251)))
(09/05/2014,List((0.000471,0.000494)))
(09/08/2017,List((0.001961,0.001937)))
(13/09/2017,List((0.001442,0.001398)))
(28/06/2014,List((0.000292,0.000276)))
(04/07/2015,List((0.000191,0.000191)))
(02/07/2015,List((0.000193,0.000191)))
(04/06/2016,List((0.000237,0.000237)))
(18/05/2016,List((0.000226,0.000228)))
(16/08/2015,List((0.000154,0.000148)))
(31/03/2017,List((0.000304,0.000328)))
(25/01/2014,List((0.001784,0.001844)))
(14/01/2014,List((0.000278,0.000342)))
(11/07/2017,List((0.001956,0.001779)))
(27/02/2017,List((0.000206,0.000208)))
(02/10/2015,List((0.000123,0.000123)))
(23/09/2016,List((0.000228,0.000224)))
(18/12/2014,List((0.000179,0.000177)))
(15/03/2015,List((0.000143,0.000143)))
(13/02/2016,List((0.000300,0.000295)))
(26/01/2015,List((0.000167,0.000163)))
(06/11/2016,List((0.000221,0.000221)))
(12/06/2017,List((0.003603,0.003253)))
(31/07/2015,List((0.000183,0.000184)))
(26/12/2015,List((0.000149,0.000139)))
(26/01/2017,List((0.000204,0.000208)))
(16/02/2015,List((0.000141,0.000144)))
(06/02/2016,List((0.000308,0.000306)))
(04/04/2014,List((0.000450,0.000446)))
(23/10/2014,List((0.000257,0.000245)))
(17/10/2015,List((0.000121,0.000121)))
(30/03/2014,List((0.000588,0.000530)))
(06/11/2014,List((0.000217,0.000226)))
(24/12/2015,List((0.000148,0.000147)))
(17/05/2015,List((0.000117,0.000115)))
(09/10/2014,List((0.000293,0.000293)))
(14/10/2014,List((0.000286,0.000285)))
(18/09/2016,List((0.000236,0.000240)))
(19/12/2015,List((0.000157,0.000153)))
(03/08/2015,List((0.000173,0.000173)))
(21/09/2014,List((0.000293,0.000288)))
(14/04/2017,List((0.000431,0.000426)))
(25/06/2017,List((0.003129,0.002961)))
(07/09/2014,List((0.000210,0.000188)))
(30/10/2014,List((0.000242,0.000238)))
(28/07/2017,List((0.001855,0.001782)))
(07/08/2015,List((0.000168,0.000168)))
(10/08/2015,List((0.000162,0.000160)))
(19/11/2014,List((0.000214,0.000217)))
(25/03/2016,List((0.000215,0.000214)))
(08/06/2016,List((0.000239,0.000246)))
(26/02/2014,List((0.000986,0.001186)))
(21/05/2016,List((0.000228,0.000226)))
(11/07/2015,List((0.000203,0.000201)))
(09/11/2017,List((0.001207,0.001415)))
(25/08/2017,List((0.001808,0.001790)))
(11/06/2014,List((0.000383,0.000420)))
(15/11/2014,List((0.000240,0.000225)))
(31/08/2014,List((0.000135,0.000131)))
(23/02/2017,List((0.000202,0.000208)))
(22/11/2016,List((0.000222,0.000224)))
(05/12/2014,List((0.000230,0.000233)))
(26/10/2017,List((0.001055,0.001051)))
(03/12/2016,List((0.000216,0.000217)))
(04/05/2017,List((0.000686,0.000744)))
(08/04/2014,List((0.000456,0.000451)))
(02/05/2017,List((0.000689,0.000610)))
(12/01/2016,List((0.000171,0.000180)))
(23/06/2017,List((0.003101,0.003143)))
(07/05/2016,List((0.000224,0.000223)))
(28/06/2016,List((0.000289,0.000301)))
(03/09/2014,List((0.000132,0.000140)))
(10/01/2014,List((0.000246,0.000373)))
(24/05/2017,List((0.003543,0.003659)))
(23/07/2016,List((0.000237,0.000251)))
(19/09/2015,List((0.000127,0.000126)))
(06/08/2016,List((0.000218,0.000231)))
(16/04/2015,List((0.000105,0.000108)))
(22/11/2014,List((0.000210,0.000214)))
(22/01/2015,List((0.000153,0.000155)))
(09/12/2016,List((0.000215,0.000212)))
(22/04/2014,List((0.000621,0.000588)))
(23/03/2016,List((0.000216,0.000212)))
(29/03/2014,List((0.000525,0.000588)))
(27/04/2017,List((0.000549,0.000632)))
(04/09/2017,List((0.002169,0.001786)))
(30/06/2015,List((0.000215,0.000199)))
(25/02/2017,List((0.000204,0.000200)))
(16/06/2017,List((0.003043,0.003163)))
(14/12/2016,List((0.000215,0.000217)))
(07/04/2017,List((0.000456,0.000398)))
(08/09/2015,List((0.000129,0.000131)))
(16/07/2016,List((0.000262,0.000262)))
(06/05/2017,List((0.000837,0.001169)))
(08/10/2017,List((0.001072,0.001056)))
(11/08/2016,List((0.000242,0.000235)))
(18/09/2014,List((0.000268,0.000298)))
(06/04/2016,List((0.000216,0.000216)))
(16/11/2017,List((0.001348,0.001390)))
(18/07/2016,List((0.000263,0.000252)))
(05/07/2016,List((0.000289,0.000287)))
(26/04/2014,List((0.000476,0.000472)))
(31/10/2015,List((0.000151,0.000137)))
(10/09/2014,List((0.000194,0.000186)))
(09/03/2016,List((0.000219,0.000230)))
(04/12/2015,List((0.000128,0.000129)))
(11/12/2015,List((0.000139,0.000150)))
(18/04/2015,List((0.000107,0.000107)))
(15/11/2016,List((0.000223,0.000222)))
(17/05/2017,List((0.001068,0.001318)))
(10/11/2017,List((0.001421,0.001163)))
(11/02/2016,List((0.000297,0.000290)))
(23/11/2015,List((0.000128,0.000130)))
(16/12/2014,List((0.000189,0.000173)))
(03/06/2015,List((0.000161,0.000151)))
(04/08/2014,List((0.000203,0.000201)))
(24/03/2017,List((0.000242,0.000264)))
(20/12/2015,List((0.000152,0.000143)))
(29/06/2015,List((0.000203,0.000214)))
(13/08/2014,List((0.000148,0.000142)))
(29/08/2015,List((0.000132,0.000131)))
(22/05/2015,List((0.000133,0.000139)))
(03/01/2014,List((0.000353,0.000303)))
(14/02/2015,List((0.000143,0.000151)))
(27/01/2016,List((0.000357,0.000455)))
(16/11/2015,List((0.000126,0.000131)))
(01/04/2017,List((0.000333,0.000335)))
(19/09/2017,List((0.000940,0.000890)))
(27/10/2016,List((0.000216,0.000217)))
(18/02/2017,List((0.000209,0.000197)))
(11/03/2017,List((0.000205,0.000211)))
(20/06/2016,List((0.000337,0.000323)))
(20/09/2015,List((0.000126,0.000126)))
(05/07/2014,List((0.000233,0.000223)))
(09/04/2017,List((0.000430,0.000381)))
(27/01/2014,List((0.001592,0.001219)))
(28/04/2014,List((0.000437,0.000481)))
(03/03/2014,List((0.000956,0.001100)))
(10/10/2014,List((0.000293,0.000271)))
(04/10/2017,List((0.001121,0.001024)))
(05/06/2015,List((0.000151,0.000153)))
(11/10/2015,List((0.000119,0.000120)))
(07/06/2017,List((0.003764,0.003302)))
(05/09/2014,List((0.000157,0.000163)))
(12/01/2014,List((0.000359,0.000345)))
(23/01/2016,List((0.000171,0.000172)))
(12/07/2014,List((0.000273,0.000273)))
(25/12/2016,List((0.000234,0.000230)))
(06/10/2017,List((0.001003,0.001056)))
(22/09/2017,List((0.000762,0.000772)))
(20/08/2014,List((0.000114,0.000130)))
(10/08/2017,List((0.001939,0.001896)))
(13/11/2014,List((0.000244,0.000250)))
(17/11/2014,List((0.000225,0.000224)))
(03/05/2014,List((0.000482,0.000462)))
(04/02/2016,List((0.000265,0.000287)))
(18/03/2014,List((0.000779,0.000767)))
(11/01/2017,List((0.000225,0.000205)))
(18/11/2017,List((0.001308,0.001373)))
(10/03/2014,List((0.000871,0.000778)))
(19/03/2017,List((0.000219,0.000235)))
(14/03/2016,List((0.000241,0.000238)))
(09/01/2014,List((0.000227,0.000246)))
(15/12/2015,List((0.000145,0.000150)))
(23/03/2014,List((0.000686,0.000744)))
(20/01/2015,List((0.000139,0.000141)))
(01/12/2014,List((0.000241,0.000242)))
(28/11/2014,List((0.000244,0.000245)))
(01/05/2016,List((0.000226,0.000226)))
(30/04/2015,List((0.000099,0.000103)))
(25/10/2016,List((0.000219,0.000219)))
(12/12/2016,List((0.000224,0.000222)))
(20/10/2017,List((0.001071,0.001050)))
(11/11/2014,List((0.000223,0.000223)))
(22/06/2014,List((0.000347,0.000342)))
(07/08/2017,List((0.001919,0.001949)))
