(0.002053,18841700)
(0.001446,3047660)
(0.001428,2141360)
(0.001421,1431720)
(0.001385,1648260)
(0.001394,2787480)
(0.001424,3423010)
(0.001351,2840180)
(0.001239,2660340)
(0.001212,2481270)
(0.001210,3288960)
(0.001257,2231080)
(0.001431,4246520)
(0.001415,6259550)
(0.001260,3528340)
(0.001214,2251920)
(0.001243,1997300)
(0.001236,1668270)
(0.001242,1986450)
(0.001215,2813240)
(0.001185,5326660)
(0.001175,2821950)
(0.001196,3075460)
(0.001228,2979150)
(0.001237,19651600)
(0.001160,1072410)
(0.001087,1414540)
(0.001090,1559670)
(0.001100,2198320)
(0.001139,5253740)
(0.001053,3524540)
(0.001077,2583310)
(0.001068,3157240)
(0.001098,3244930)
(0.001095,2189610)
(0.001079,2446530)
(0.001190,7260740)
(0.001254,6552920)
(0.001165,2164040)
(0.001115,2216010)
(0.001085,6885520)
(0.001096,3146680)
(0.001080,2390280)
(0.001047,1909730)
(0.001066,3065770)
(0.001136,2242630)
(0.001129,1488520)
(0.001085,1505160)
(0.001075,2656730)
(0.001121,2119210)
(0.001115,2044110)
(0.001133,3145110)
(0.001152,4295630)
(0.001169,4092970)
(0.001129,5674620)
(0.001172,4485170)
(0.001190,5371580)
(0.001194,9374910)
(0.001182,9597030)
(0.000983,4928520)
(0.000974,7670640)
(0.000783,3758470)
(0.000864,3157030)
(0.000888,4641920)
(0.000964,5206600)
(0.000960,7127750)
(0.000868,6776550)
(0.000921,13242000)
(0.000950,21413000)
(0.001397,13435300)
(0.001442,4788820)
(0.001578,8575960)
(0.001505,6644960)
(0.001581,10036300)
(0.001645,6441030)
(0.001956,10583000)
(0.002016,7589980)
(0.002042,11077100)
(0.001943,11565200)
(0.002169,11195900)
(0.002326,8700780)
(0.002701,23789600)
(0.002543,16681400)
(0.002150,12968400)
(0.002151,17500900)
(0.001924,6879110)
(0.001825,3210440)
(0.001784,2241620)
(0.001797,1935350)
(0.001830,2654040)
(0.001845,4796720)
(0.001790,5481120)
(0.001731,3645340)
(0.001712,3580650)
(0.001726,3050890)
(0.001709,3028000)
(0.001759,3190510)
(0.001799,3365590)
(0.001798,3874060)
(0.001827,7095620)
(0.001830,4321530)
(0.001874,4744330)
(0.001992,7282380)
(0.001897,5135210)
(0.001945,4006990)
(0.001974,4251240)
(0.001987,4784700)
(0.001974,5318800)
(0.002140,6541340)
(0.002087,8047780)
(0.001847,3828740)
(0.001807,3213770)
(0.001823,4626730)
(0.001803,4465920)
(0.001728,3841680)
(0.001773,2110290)
(0.001774,2728040)
(0.001871,4510970)
(0.001872,3369400)
(0.001814,3897040)
(0.002002,4078660)
(0.002010,3671250)
(0.002193,10407100)
(0.002102,6184110)
(0.002023,6889580)
(0.002010,7934090)
(0.001935,8549310)
(0.001888,10344200)
(0.001554,4765630)
(0.001524,4390690)
(0.001675,3788270)
(0.001851,3700410)
(0.002056,6931840)
(0.001938,9627830)
(0.002036,9803180)
(0.002373,7350820)
(0.002492,4122620)
(0.002461,8176760)
(0.002629,7367710)
(0.002820,10702300)
(0.002829,17293700)
(0.002612,5302360)
(0.002601,7488410)
(0.002645,6310430)
(0.002893,5623250)
(0.002681,4828560)
(0.002787,6596660)
(0.002822,9713640)
(0.002766,16548800)
(0.003041,19984800)
(0.003436,25808000)
(0.003294,12055500)
(0.003188,9479750)
(0.003141,9515860)
(0.003292,14635800)
(0.003287,15050400)
(0.003253,12364900)
(0.003336,9348420)
(0.003384,16275900)
(0.003207,13983500)
(0.003110,15751600)
(0.003379,14116100)
(0.003432,15386000)
(0.003603,20308300)
(0.003795,40179500)
(0.003483,22219500)
(0.003624,25259700)
(0.003591,30213200)
(0.003815,29591900)
(0.004036,44359200)
(0.003901,53883800)
(0.003496,47092000)
(0.003375,40595200)
(0.003101,34663300)
(0.002903,23980700)
(0.002739,19840600)
(0.002994,22734100)
(0.002843,19870300)
(0.002858,34751700)
(0.002571,51605800)
(0.003277,32173900)
(0.003712,47384900)
(0.004044,55427800)
(0.004031,69025700)
(0.003766,122287000)
(0.003062,105483000)
(0.001921,23947700)
(0.001594,15752100)
(0.001647,30426900)
(0.001396,19914100)
(0.001125,7799600)
(0.001277,5239470)
(0.001274,4752270)
(0.001212,5599360)
(0.001263,6218670)
(0.001251,7417150)
(0.001382,9734520)
(0.001531,18473100)
(0.001523,23381600)
(0.001430,34856400)
(0.001169,14651900)
(0.000932,9754900)
(0.000763,4638240)
(0.000695,4436450)
(0.000696,5211860)
(0.000765,5565600)
(0.000771,3614180)
(0.000771,5870990)
(0.000705,4437500)
(0.000672,4707330)
(0.000552,1349140)
(0.000546,1498410)
(0.000530,1427570)
(0.000540,3778280)
(0.000470,853796)
(0.000457,692528)
(0.000483,1828250)
(0.000460,940790)
(0.000467,1308510)
(0.000480,1791470)
(0.000462,1835340)
(0.000434,892718)
(0.000455,1462360)
(0.000438,1421850)
(0.000415,940905)
(0.000400,694146)
(0.000400,1181340)
(0.000431,1720980)
(0.000433,1249660)
(0.000458,2669470)
(0.000487,2738610)
(0.000445,1696750)
(0.000490,3070990)
(0.000633,8704480)
(0.000527,4276890)
(0.000349,1030280)
(0.000360,2525700)
(0.000329,1673200)
(0.000281,399763)
(0.000286,708276)
(0.000283,1082440)
(0.000309,1203110)
(0.000298,1274960)
(0.000305,1776640)
(0.000245,195765)
(0.000247,344528)
(0.000248,243988)
(0.000239,339899)
(0.000240,335532)
(0.000228,474001)
(0.000235,393182)
(0.000244,448480)
(0.000245,395931)
(0.000247,350586)
(0.000261,998448)
(0.000229,320578)
(0.000213,142059)
(0.000218,327829)
(0.000212,110162)
(0.000212,242738)
(0.000215,169049)
(0.000213,111585)
(0.000211,69490)
(0.000217,94177)
(0.000213,146345)
(0.000210,203994)
(0.000209,136870)
(0.000210,90932)
(0.000209,115816)
(0.000208,55007)
(0.000209,64485)
(0.000211,118202)
(0.000208,110405)
(0.000210,108610)
(0.000211,102673)
(0.000209,89141)
(0.000210,74856)
(0.000210,158688)
(0.000213,153199)
(0.000212,135279)
(0.000212,154245)
(0.000213,129514)
(0.000211,128635)
(0.000211,96618)
(0.000215,94779)
(0.000209,94677)
(0.000216,200542)
(0.000217,162662)
(0.000214,110704)
(0.000216,90884)
(0.000214,99078)
(0.000214,113546)
(0.000214,112018)
(0.000215,76734)
(0.000214,83192)
(0.000215,122078)
(0.000210,60616)
(0.000211,88538)
(0.000210,54080)
(0.000210,114996)
(0.000210,93096)
(0.000205,71636)
(0.000209,59545)
(0.000209,60873)
(0.000211,72923)
(0.000214,131115)
(0.000212,72040)
