(1.62,7177000)
(1.66,5440790)
(1.66,12994500)
(1.70,38081700)
(1.68,32167300)
(1.58,8508840)
(1.68,8928640)
(1.62,7615500)
(1.74,7829600)
(1.74,12238800)
(1.67,15298700)
(1.92,8178150)
(2.07,11155000)
(2.17,19192200)
(2.06,18796200)
(1.82,9469500)
(1.67,5042750)
(1.64,2681150)
(1.70,4685320)
(1.48,3201070)
(1.37,3550520)
(1.34,2118920)
(1.41,3397150)
(1.36,2437230)
(1.26,1969690)
(1.20,1495260)
(1.22,2067650)
(1.26,2400010)
(1.27,2288360)
(1.38,4833390)
(1.28,2355560)
(1.30,1631220)
(1.27,1331640)
(1.37,1703230)
(1.35,1791220)
(1.42,2311140)
(1.47,1744390)
(1.60,2960330)
(1.68,5987930)
(1.54,3355060)
(1.51,5705760)
(1.44,5275850)
(1.46,6123140)
(1.47,6912770)
(1.58,9667100)
(1.60,4515300)
(1.61,5578780)
(1.71,6076260)
(1.74,7503500)
(1.86,7227750)
(2.03,14411500)
(1.98,19367700)
(1.53,9043600)
(1.31,6194570)
(1.37,8474270)
(1.43,13944300)
(1.20,8394020)
(0.940082,3460160)
(0.936568,3695220)
(0.788347,2402720)
(0.777400,2276080)
(0.740154,2099500)
(0.781775,2238040)
(0.816384,2536950)
(0.909132,2888420)
(0.937029,3717860)
(0.814797,1273640)
(0.927197,2829570)
(0.849217,4625680)
(0.950177,3134360)
(1.04,2780700)
(1.21,7213490)
(1.10,5167180)
(1.00,3257430)
(1.03,4011510)
(1.40,9872850)
(1.51,15442300)
(1.17,14279400)
(1.12,9453770)
(1.58,20075100)
(2.02,11662000)
(2.85,22995400)
(2.39,20990700)
(2.41,20214800)
(2.37,24830000)
(2.33,20372000)
(2.17,15413900)
(2.31,17214900)
(2.54,26690700)
(2.73,49977600)
(2.66,45080400)
(2.96,64925100)
(2.72,52091300)
(2.91,72000600)
(2.69,65350400)
(2.33,43391300)
(2.75,69048000)
(2.11,61296500)
(1.45,31363100)
(1.38,19824400)
(1.46,51698100)
(1.02,13852100)
(0.475992,5080760)
(0.409654,4413920)
(0.349976,4118070)
(0.260625,3075320)
(0.226925,2617340)
(0.149765,748177)
(0.132988,393681)
(0.144653,542878)
(0.107756,287621)
(0.106978,293008)
(0.101211,256793)
(0.106266,300413)
(0.108349,240309)
(0.108138,224261)
(0.111264,340218)
(0.109019,342568)
(0.108479,344499)
(0.109013,200395)
(0.115841,145269)
